-17,4,16516
-58,114,16546
379,31,16535
277,91,16516
-113,90,-16526
284,-303,16549
-51,77,16533
-46,40,16537
286,15,16544
-98,28,16533
-48,56,16541
262,23,16551
-42,17,16545
-28,51,16552
-10,4,16525
258,29,16546
-56,15,16533
-51,13,16753
267,23,16565
-55,51,16757
-22,3,16537
-74,25,16553
374,34,16546
123,60,16531
298,50,16549
334,-303,16536
-97,75,16523
274,90,16516
270,75,16554
-77,77,16549
272,-267,16539
-87,111,16546
282,-266,16520
261,50,16535
-38,64,16544
273,5,16756
-48,20,16546
-50,71,16528
268,28,16562
-12,37,16555
-98,28,16534
-14,37,16544
279,9,16528
-75,54,16542
666,-263,16973
568,12,18266
1806,-520,17278
4535,101,16589
5894,333,15617
11137,1956,15682
13044,1115,12182
11668,265,7520
13236,-1220,2689
16250,-972,5117
15666,-2060,3254
16383,-1699,3800
16119,-1210,4098
15008,-1829,2326
16260,-1742,2469
16270,-1467,2904
16331,-2310,2769
16910,-2167,4185
15456,-2025,2523
17725,-1564,6162
13802,-1084,5516
17243,1243,13860
8887,-271,5629
9450,1802,13389
7073,1026,15146
5302,526,16329
2010,-716,15028
3865,-1312,16090
1165,-1005,15953
1652,-393,17442
174,-27,17487
253,-304,16649
-851,274,16021
-406,9,15554
177,-1285,17261
560,-2866,16538
884,-3898,18714
1483,-5590,17936
3733,-8762,15404
5369,-12711,9552
3403,-14151,6603
3368,-14521,5689
3503,-14968,5826
2827,-14806,5520
3550,-15638,5487
3134,-15707,5440
3186,-14561,7307
1695,-14992,6498
2660,-14017,6858
1667,-14160,8449
1862,-12017,10153
1442,-11929,11796
23,-10126,12085
1691,-8080,13632
595,-7466,14585
1838,-6726,15214
1647,-2861,18619
1559,-4236,15996
1427,-1841,17123
387,-977,16780
1110,-389,16309
209,-344,17229
1139,-389,16615
1011,-543,16644
1910,-564,16862
847,-851,15784
627,-586,16880
2453,-2623,16304
3269,-1723,14261
2462,-991,15013
2726,-489,17504
2197,-1370,16379
3572,-1389,17700
2888,-1449,16794
3337,-1710,16845
1913,-345,17813
4268,-630,16075
-1100,4202,17507
1051,4120,14478
931,6020,12738
-2098,9546,14325
-1544,9778,13936
-3166,10762,15665
-1584,9627,12646
309,10969,14125
-189,10303,11658
28,10654,13359
-510,10222,11190
-801,11552,11927
-1217,11535,11096
-146,11633,10968
80,11765,11191
-144,11699,11382
273,11612,11247
-65,10924,10737
-720,10720,10649
-242,11163,13552
-313,9275,13540
-544,7518,12563
-2828,6747,14063
618,6324,16557
-1972,3795,13716
-686,3201,15680
820,2425,18500
-1418,194,19072
1358,-3406,16684
5709,-3681,18002
591,-980,17857
-14149,1535,15843
16212,-5540,16165
978,-1138,18277
-10607,1332,15994
15352,-5760,15163
-16141,4002,20784
16391,-7805,12295
-12659,2476,17871
3654,-2747,21809
-1485,1140,19381
2009,-1427,14914
167,223,19993
8710,-1987,17690
-14283,534,16222
23694,-9733,15459
4209,-405,19428
17134,-4287,17408
-15701,488,17821
-4573,2032,17689
26301,-9145,14377
-13964,2084,21354
-1682,581,15312
8896,-2854,16042
290,-870,17967
-3692,532,15834
2506,-755,17014
2141,-454,18295
-310,422,17751
1193,-164,15009
2570,34,15529
1066,-420,15238
-713,334,24556
-713,757,19024
1514,-1988,719
811,-2332,31846
4138,-1874,27609
350,-1097,23056
6865,2482,32504
1556,-1426,20957
4641,1914,30027
2227,-599,26477
2669,86,23420
55,-245,25554
92,-2426,9933
5293,2391,32504
1311,500,24355
3223,936,32504
6104,2732,32504
6962,1421,31930
-3842,297,4572
6977,1821,32262
363,72,16027
2204,559,22016
-414,376,15058
532,1206,19598
525,263,17273
1909,-1326,16022
1054,5933,14803
-2587,7468,15059
2160,-11160,16265
4177,-3891,15543
-4483,7906,18065
-3995,6602,21773
536,-10703,13153
4644,-6507,16362
1287,5759,14240
-4997,10320,19188
2774,-10005,17446
4149,-415,15010
-5315,10827,17106
4918,-11963,17359
5623,-3850,16396
-3648,10276,17572
-5312,5797,15773
110,-10859,16329
5270,-9881,17997
2556,3147,15624
-8299,12544,17197
-1434,2871,16718
1721,-10312,17237
3989,-2852,15564
-4017,8410,14862
-2946,8690,17936
-1769,963,18547
611,-8813,17079
3889,-8794,15249
-920,3027,15301
-5529,8063,17306
-2664,954,17686
222,-2299,19041
820,-3775,13755
-3946,1376,17653
-2540,73,16759
-3191,522,17341
-2500,544,17342
1105,-630,17277
960,-866,16809
1477,-710,17172
1408,-685,16547
2308,-824,16550
2198,-947,16237
2938,-905,15797
3654,-992,16412
3756,-1153,15763
5214,-1264,16064
5525,-1598,15751
5876,-1233,15726
6324,-1304,15378
6636,-1395,15377
7705,-1056,14849
7927,-1297,14026
8840,-1076,14395
9802,-795,14044
9886,-763,13380
9961,-888,12911
10126,-350,12902
10934,-372,13114
11506,-364,11912
11893,-290,11465
12524,-30,11605
12547,46,10429
13034,-302,9379
13221,146,9876
13602,177,9267
15166,384,8703
13696,628,8210
15071,612,7639
15472,514,6446
15704,8,4739
15365,346,4072
16069,177,3869
16519,338,2745
16290,-36,2523
16986,552,2564
16723,60,1051
16411,290,433
16387,283,149
15979,-35,-587
16967,-88,-167
16074,190,-3
16514,28,161
17025,357,1412
16948,-9,1145
16186,-123,895
16654,627,2437
16617,250,2873
15580,572,2853
16055,826,3953
15890,-45,3416
15579,135,3851
16160,582,4786
16563,-69,4957
15403,571,6206
15427,269,6360
14277,245,6958
14119,335,7418
14477,-544,8236
14381,-326,9040
13489,-492,8662
15106,-829,10100
13149,-169,10722
13521,-643,11121
12351,-199,11159
11683,-838,11556
11035,-412,12187
12371,-744,12629
9203,-212,13527
9353,-828,14183
8103,-469,13764
7461,-454,14301
6919,-600,14970
5574,-204,15618
5380,0,15604
5175,-528,16142
4136,75,16114
4195,-154,16451
3129,-43,16957
1658,-599,15629
472,146,16851
724,-188,16323
-2400,831,16547
-2987,548,16172
-4846,617,16042
-5357,205,15402
-5789,152,15649
-7346,241,15267
-8825,595,13958
-10020,54,13332
-4423,285,17197
-540,47,16632
1564,370,18332
184,164,16038
588,562,16181
25,263,15258
658,334,17214
317,989,16932
-196,1575,16359
-259,1775,17488
514,1750,16624
-774,2439,16103
7,2802,16439
-768,3379,15815
-479,3639,16532
-811,3755,16103
-1254,4217,15738
-1195,4314,16043
-1579,5195,16073
-1858,5646,15461
-1788,6080,15533
-2632,6825,15638
-2272,6969,14972
-2633,6874,14814
-2648,7638,15153
-2799,7996,14348
-2238,8210,13372
-2205,9301,14662
-2757,9096,13569
-3751,10194,14203
-2837,9229,11970
-3132,9804,12644
-3120,10615,12234
-3221,11564,12639
-3036,11070,10793
-2865,11860,11799
-2995,11821,10492
-2944,12415,10637
-3215,12716,10238
-2995,12879,9572
-3373,13228,9856
-3606,13165,9007
-2960,13110,10268
-3720,13633,9289
-3033,12681,8444
-3649,13318,7989
-3108,13284,7658
-3562,13841,8055
-4104,14085,8073
-3217,13786,8014
-3784,14132,7885
-2820,12967,7356
-3308,13860,8062
-3954,14150,8661
-3852,13000,7823
-3702,12915,8975
-3047,12914,9150
-2694,13069,9126
-3315,13247,9855
-3590,12685,8185
-3300,12382,8053
-2749,13250,9628
-3046,13431,9706
-3260,12576,9100
-3186,12232,9770
-4560,11794,10455
-2468,10628,11772
-3387,10793,12849
-2664,9666,12797
-2481,9098,13337
-2448,8651,13095
-2769,7900,13805
-1887,7438,14990
-2372,6499,14305
-2125,6484,16002
-2148,5618,15765
-2210,4881,15448
-1714,4030,16348
-2130,2729,15353
-2469,2837,16317
-1943,925,17241
-3450,425,17563
555,-14641,8141
138,-14640,6956
784,-15011,6193
1765,-15855,4949
557,-15491,5564
1643,-15004,5489
1873,-15082,4540
3102,-15837,3322
2451,-15314,2979
2096,-15089,3262
2253,-16001,3622
2582,-16385,2988
2428,-16420,2717
2459,-16275,2993
2465,-14717,2175
1673,-16660,2618
2172,-15971,2799
2318,-15980,2938
1982,-15931,2875
2418,-16184,3589
2357,-15925,3285
2410,-15893,3902
2318,-15248,2453
1069,-16125,3300
1879,-15891,4219
2317,-16145,4892
563,-15720,6386
1078,-15474,5277
1257,-14533,6062
620,-14432,7447
108,-13953,8283
894,-14126,8953
454,-12957,10656
507,-12300,11375
226,-11759,11174
120,-6368,15579
-1674,1756,18719
-381,704,15986
-1659,3352,16708
-2572,3619,15717
-1322,3119,14259
-1716,4161,15856
-4246,6760,18538
-1461,3799,15454
-2258,4613,14923
-2575,4376,15205
-1192,3054,15748
-1908,3043,16419
-1926,2955,17043
-2598,3473,18052
-1866,1726,16706
-799,760,15932
-1114,789,16134
-1814,1083,17158
101,-2048,16349
1162,-3223,16341
98,-1960,16797
157,-2115,16823
328,-2330,15514
152,-2156,16396
698,-2257,16039
152,-1981,16371
333,-1920,17361
412,-1867,16625
625,-946,16132
189,-394,16345
433,-653,16213
1061,-239,16781
902,-430,16786
770,-131,17166
212,-22,16913
385,-255,16293
415,-166,17076
1106,-493,17358
187,-298,16744
1056,-378,16974
724,-226,16587
879,-208,16726
834,-287,16674
1296,-796,16703
-56,110,16621
-86,49,16520
354,-259,16732
-55,26,16535
-37,29,16542
-35,31,16764
-4,28,16751
-8,41,16748
-14,82,16759
-67,38,16759
